Time Start,Time End,Acting Character,Receiving Character,Action / Dialogue,Valence,Raw time start,Raw time end,"<-- Netflix only shows how much of the movie remains, so these raw timstamps are used to calculate the real Time Start and Time End values",
0:01:24,0:02:28,Katniss,Primrose,Consoling after bad dream,1,2:15:14,2:14:10,,
0:04:45,0:05:17,Gale,Katniss,Trust enough to break rules of hunting together,1,2:11:53,2:11:21,,
0:05:17,0:05:39,Gale,Katniss,Hiding from the peacekeepers together,1,2:11:21,2:10:59,,
0:06:25,0:06:46,Gale,Katniss,Trust each other to plot treason; planning to run away from everything,1,2:10:13,2:09:52,,
0:06:58,0:07:10,Gale,Katniss,Giving her bread that cost the equivalent of meat / cost a lot of money,1,2:09:40,2:09:28,,
0:08:23,0:08:29,Katniss,Primrose,Katniss helps primrose get ready / tucks in her shirt / compliments her,1,2:08:15,2:08:09,,
0:09:13,0:09:30,Katniss,Primrose,Katniss gives Primrose the mockingjay pin to help protect her,1,2:07:25,2:07:08,,
0:10:17,0:10:37,Katniss,Primrose,Katniss console Primrose about the prick of blood ,1,2:06:21,2:06:01,,
0:11:35,0:11:38,Gale,Katniss,Gale consoles Katniss about the reaping,1,2:05:03,2:05:00,,
0:11:44,0:12:04,Effie,Katniss,Mocks the D12 residents,-1,2:04:54,2:04:34,,
0:11:44,0:12:04,Effie,Gale,Mocks the D12 residents,-1,2:04:54,2:04:34,,
0:14:05,0:14:51,Katniss,Primrose,Katniss volunteers in place of Primrose when her name is drawn,3,2:02:33,2:01:47,,
0:16:44,0:16:56,Peeta,Katniss,Peeta and Katniss handshake at the reaping,0,1:59:54,1:59:42,,
0:17:21,0:18:07,Katniss,Primrose,"Katniss consoles Primrose after volunteering for her, Primrose gives her the mockingjay pin",1,1:59:17,1:58:31,,
0:18:07,0:18:33,Katniss,Katniss' mom,Katniss is firm with her mom about not crashing out & doesn't super trust her,-1,1:58:31,1:58:05,,
0:18:53,0:19:31,Gale,Katniss,Gale gives Katniss confidence about winning the game,1,1:57:45,1:57:07,,
0:20:39,0:20:53,Effie,Katniss,"mocks about the food they will get & only being here ""a little while""",-1,1:55:59,1:55:45,,
0:20:39,0:20:53,Effie,Peeta,"mocks about the food they will get & only being here ""a little while""",-1,1:55:59,1:55:45,,
0:21:07,0:21:36,Katniss,Peeta,Katniss ignores Peeta when he tries to make small talk & defend Haymitch,-1,1:55:31,1:55:02,,
0:22:36,0:23:27,Haymitch,Peeta,Haymitch discourages Peeta from the probability of winning & they get into a tussle,-1,1:54:02,1:53:11,,
0:25:11,0:25:47,Katniss,Haymitch,Katniss is upset with Haymitch for not answering the question,-1,1:51:27,1:50:51,,
0:25:47,0:26:25,Haymitch,Katniss,Haymitch (begrudgingly) gives advice to Katniss about sponsors,0,1:50:51,1:50:13,CHECKPOINT ENDS,-1
0:28:32,0:29:25,Cinna,Katniss,flashback to Katniss and Peeta's first interaction when Peeta gives her a loaf of bread,1,1:48:06,1:47:13,,
